Fiskeby OG,Soybean,Vegetable,Annual,32,6,Vine,Outside,7,21,2,3,36,48,1.00,8,12,,12,75,80,35,3b,13b,I,Stake,Full,,,,Yes,No,No,No,Yes,No,,No,No,Edible,Fruit,Shallow root ball,"New Mexico heirloom that was originally introduced to the U.S. from Sapporo, Japan in 1929. High yields of small olive green seeds with brown saddles. Good eating quality. Very rare variety. 65-70 days.",Be sure to seeds outdoors after danger of frost has passed and soil and air temperatures have warmed.,greenbean.png,"Soybeans can be used as edamame, fresh shell beans, or dry beans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Top White,Turnip,Vegetable,Annual,5,4,Root,Outside,10,16,2,3,23,26,0.75,8,9,,10,45,65,35,3b,13b,D,none,Full,,,,No,No,No,No,No,No,,No,No,Edible,Root,Tap Root,"Listed in the 1885 retail catalogue of James J. H. Gregory. Uniform smooth white globes are best for eating when 3-4"" in diameter but remain in good condition until quite large. Sweet, mild, fine-grained white flesh. Large tops make delicious greens. Excellent quality, stores very well. ","Sow seeds outdoors as soon as soil can be prepared in spring. Plant every 2 weeks for continuous harvest. Quality and flavor are best if harvested when weather is cool. Uniform smooth white globes are best for eating when 3-4"" in diameter but remain in good condition until quite large. ",turnip.png,"Large tops make delicious greens. Excellent quality, stores very well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow of Parma,Onion,Vegetable,Annual,6,5,Root,Inside,4,10,1,2,20,24,0.25,8,9,-25,10,105,115,35,4a,13b,D,none,Full,,,,No,No,No,No,No,No,,No,No,Edible,Root,Tap Root,Imported from Italy. A top quality late maturing onion with golden globe-shaped bulbs weighing an average of 1 pound. One of the best for storage. Long-day type. 110 days from transplant.,"Transplant outdoors as soon as soil can be worked in spring. Keep onions well weeded with shallow cultivation.
",onion.png,One of the best for storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal Market OG,Bean,Vegetable,Annual,20,6,Vine,Outside,7,21,2,3,20,24,1.00,9,12,,10,65,70,35,3b,13a,I,"Cage, stake or trellis",Full,,,,Yes,No,No,No,Yes,No,,No,No,Edible,Fruit,Shallow root ball,"Introduced to the seed trade in 1914 as Black Creaseback by Van Antwerp_s Seed Store of Mobile, Alabama. Reintroduced in 1924 by Chris Reuter Seed Co. of New Orleans, Louisiana as Reuter_s Ideal Market. Very early and productive 5"" snap bean. Excellent quality, stringless, fine texture. Pole habit, snap, 65-70 days.","Sow seeds outdoors after danger of frost has passed and soil and air temperatures have warmed. Harvest frequently for increased yields.
",greenbean.ong,"Very early and productive 5"" snap bean. Excellent quality, stringless, fine texture. Pole habit, snap, 65-70 days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calabrese,Broccoli,Vegetable,Annual,16,9,Plant,Inside,3,4,6,24,23,26,0.25,22,24,-15,-5,58,90,28,2b,11b,D,none,Full,,Moist,,No,No,No,No,No,No,,No,No,Edible,Fruit,Root Ball,"Popular market variety that was brought to America by Italian immigrants in the 1880s. Tight heads can grow up to 8"" in diameter. After the central head is harvested, side shoots will form. 58-90 days from transplant.","Sow seeds indoors ¬"" deep. Plant out just before the last frost. Broccoli prefers cool temperatures and a regular supply of water. In many regions it can be grown as both a spring and fall crop.
",broccoli.png,"Tight heads can grow up to 8"" in diameter. After the central head is harvested, side shoots will form. 58-90 days from transplant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Snowball,Cauliflower,Vegetable,Annual,11,11,Plant,Inside,4,10,4,6,22,26,0.25,22,26,-49,-5,60,85,28,2b,11b,D,none,Full,,Moist,,No,No,No,No,No,No,,No,No,Edible,Fruit,Root ball,"Introduced to American gardeners in 1888 by Peter Henderson & Company. Smooth 6-7"" heads of tightly formed white curds are solid, crisp, and tender, excellent quality. Can be over-wintered for early crops in warmer regions.","Sow seeds indoors ¬"" deep. Plant out just before the last frost. Cauliflower prefers cool temperatures and a regular supply of water. Tying up heads to blanch is not necessary, but the practice prevents yellowing.
",cauliflower.png,Can be over-wintered for early crops in warmer regions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammoth Red,Cabbage,Vegetable,Annual,9,8,Plant,Inside,7,12,4,6,24,36,0.25,24,36,-49,-5,130,145,28,2b,11b,D,none,Full,,Moist,,No,No,No,No,No,No,,No,No,Edible,Fruit,Shallow root ball,"Introduced in 1889. Solid uniformly round heads are 8"" in diameter and weigh 7 pounds. A sure cropper with a small to medium core that is red throughout; fine flavor, excellent for cooking, salads, and pickling. 98 days from transplant.","Sow seeds indoors ¬"" deep. Plant out just before the last frost. Make sure cabbage has a regular supply of water.
",redcabbage.png,"A sure cropper with a small to medium core that is red throughout; fine flavor, excellent for cooking, salads, and pickling. 98 days from transplant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Yield OG,Cucumber,Vegetable,Annual,24,50,Plant,Outside,7,21,0,0,0,0,1.00,2,3,-14,20,50,60,38,3b,12a,D,none,Full,,Moist,,No,Yes,Yes,No,Yes,No,,No,No,Edible,Fruit,Root ball,"Introduced in 1924 by Joseph Harris Co. of Coldwater, New York. In the words of the introducer, _The remarkable thing about this new cucumber is its wonderful productiveness. For every pickle that is cut off, two or three more are produced._ Very early pickling type. Green 6"" long fruits are symmetrical, smooth, and uniform. 50-60 days.","Sow seeds outdoors in 12"" diameter hills after the last frost when soil is warm. Space hills 6' apart in all directions. Can also be started indoors 2-4 weeks before the last frost for an earlier harvest. Cucumbers benefit from consistent moisture. Provide support for vines to save space. 
",cucumber.png,"Very early pickling type. Green 6"" long fruits are symmetrical, smooth, and uniform.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond OG,Eggplant,Vegetable,Annual,24,40,Plant,Inside,13,14,4,6,18,24,0.25,18,24,-56,20,105,110,38,3b,12a,D,none,Full,,,,No,Yes,Yes,No,No,No,,No,No,Edible,Fruit,,"Collected from the Ukraine by SSE in 1993. Fruits are set in clusters of 4-6 on 2' tall plants. Dark purple fruits with green tinted flesh are 9"" long by 3"" in diameter. Excellent texture and flavor, rarely bitter. Disease resistant. 70 days from transplant.","Sow seeds indoors ¬"" deep. Transplant outdoors once danger of frost has passed and soil is warm. Using landscape fabric or black plastic can accelerate growth and productivity in cooler climates.
",eggplant.png,"Dark purple fruits with green tinted flesh are 9"" long by 3"" in diameter. Excellent texture and flavor, rarely bitter. Disease resistant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden OG,Garden Huckleberry,Fruit Tree,Annual,36,24,Plant,Inside,13,14,3,4,32,36,0.25,22,24,-42,10,105,110,35,3b,12a,D,none,Full,,,,No,Yes,No,No,No,No,,No,No,Edible,Fruit,Root Ball,"Upright 3-4' branched plants produce hundreds of ó"" metallic purple-black berries in clusters. Best when picked after berries turn from glossy to dull black. Tasteless when raw and unsweetened, but can be made into delicious mock blueberry pies and preserves. Use about 1 pound of berries to « cup of sugar for best flavor. Good for freezing and canning. 75-80 days from transplant.","Sow seeds indoors ¬"" deep. Thin seedlings when 2"" tall and transplant into individual pots. Plant outdoors in rows 36"" apart.",huckleberry.png,"Best when picked after berries turn from glossy to dull black. Tasteless when raw and unsweetened, but can be made into delicious mock blueberry pies and preserves. Use about 1 pound of berries to « cup of sugar for best flavor. Good for freezing and canning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixture,Gourd,Vegetable,Annual,26,45,Plant,Outside,7,21,0,0,0,0,1.00,2,3,,10,90,100,38,3b,13a,D,none,Full,,,,No,Yes,Yes,No,Yes,No,,No,No,Edible,Fruit,Root Ball,"Beautifully diverse ornamental gourd mixture with equal portions of Cou-Tors Hative, Orange Warted, Ten Commandments, Nest Egg, Flat Striped, Striped Pear, Orange Ball, Spinning Gourd, and Warted Mixture. Beautiful fall decorations; great moneymaker for roadside stands. 90-100 days.","Sow seeds outdoors after the danger of frost has passed in 12"" diameter hills. Space hills 6' apart in all directions. Can also be started indoors 3-4 weeks before the last frost. Gourds grow well on fences or garden trellises.",gourd.png,Beautiful fall decorations; great moneymaker for roadside stands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aunt Molly's OG,Ground Cherry,Fruit Tree,Annual,20,30,Plant,Inside,12,15,2,3,12,18,0.25,12,18,-42,10,100,105,38,3b,13a,D,none,Full,,,,No,Yes,Yes,No,Yes,No,,No,No,Edible,Fruit,Root ball,"Native of eastern and central North America. Outstanding Polish variety prized for its unique flavor. Easy to grow, prolific, and super sweet. Can be used for preserves, pies, over ice cream, or in fresh fruit salads. The «-ó"" fruits are encased in a papery husk that turns brown when the fruits ripen. Stores 3-4 weeks in the husk. Productive plants have a sprawling habit. 70 days from transplant.","Sow seeds indoors ¬"" deep. Plant out when the danger of frost has passed. Excellent results at Heritage Farm when grown on landscape cloth, which suppresses weeds and makes collecting the fruits easier.
",groundcherry.png,"Easy to grow, prolific, and super sweet. Can be used for preserves, pies, over ice cream, or in fresh fruit salads. The «-ó"" fruits are encased in a papery husk that turns brown when the fruits ripen. Stores 3-4 weeks in the husk. Productive plants have a sprawling habit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burpee's Golden OG,Beet,Vegetable,Annual,8,5,Root,Outside,5,10,2,3,20,24,0.50,4,6,,10,50,55,38,3b,13a,D,none,Full,,,,No,No,No,No,No,No,,No,No,Edible,Root,Tap Root,"Commercially available since 1828. Dual purpose beet for roots and greens. Roots are globe-shaped and bright orange, turning golden-yellow when cooked. Tender and mild even when large. Will not bleed like red beets. Sweet flavorful leaves. 50-55 days","Sow seeds outdoors as soon as soil can be worked in spring. Seeds will germinate in 5-10 days. Can be planted at two-week intervals for continuous harvests. All parts of the beet plant are edible.
",beet.png,"Dual purpose beet for roots and greens. Roots are globe-shaped and bright orange, turning golden-yellow when cooked. Tender and mild even when large. Will not bleed like red beets. Sweet flavorful leaves. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Butterball OG,Potato,Vegetable,Annual,35,20,Plant,Outside,0,0,10,12,20,35,1.00,0,0,,10,100,120,38,3b,13a,D,none,Full,,,,No,Yes,No,No,No,No,,No,No,Edible,Root,Tap Root,"A good choice for roasting, frying, and especially for mashed potatoes. Russeted skin and buttery yellow flesh. Always one of our favorite all-purpose potatoes. Excellent for long-term storage. Very good yields. 100-120 days.
",Sow spud after last frost.,potato.png,"A good choice for roasting, frying, and especially for mashed potatoes. Russeted skin and buttery yellow flesh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfrey,Comfrey,Herb,Perennial,14,9,Plant,Outside,7,21,24,36,24,36,0.25,24,36,,10,35,50,-10,3a,11b,D,none,Full to Partial,,Moist,,No,No,No,No,No,Yes,Pollinators,Yes,Yes,Edible,Leaf,Root Ball,An important herb in organic gardening. It is used as a fertilizer and also has many purported medicinal uses. ,"The comfrey bed should be well prepared by weeding thoroughly, and dressing with manure if available. Offsets should be planted 2_3 feet apart with the growing points just below the surface, whilst root segments should be buried about 2 inches deep. Keep the bed well watered until the young plants are established. Comfrey should not be harvested in its first season as it needs to become established. Any flowering stems should be removed as these will weaken the plant in its first year.
Comfrey is a fast growing plant, producing huge amounts of leaf during the growing season, and hence is very nitrogen hungry. Although it will continue to grow no matter what, it will benefit from the addition of animal manure applied as a mulch, and can also be mulched with other nitrogen rich materials such as lawn mowings, and is one of the few plants that will tolerate the application of fresh urine diluted 50:50 with water, although this should not be regularly added as it may increase salt levels in the soil and have adverse effects on soil life such as worms. Mature comfrey plants can be harvested up to four or five times a year. They are ready for cutting when about 2 feet high, and, depending on seasonal conditions, this is usually in mid-Spring. Comfrey will rapidly regrow, and will be ready for further cutting about 5 weeks later. It is said that the best time to cut comfrey is shortly before flowering, for this is when it is at its most potent in terms of the nutrients that it offers. Comfrey can continue growing into mid-Autumn, but it is not advisable to continue taking cuttings after early Autumn in order to allow the plants to build up winter reserves. As the leaves die back and break down in winter, nutrients and minerals are transported back to the roots for use the following spring.
Comfrey should be harvested by using either shears, a sickle, or a scythe to cut the plant about 2 inches above the ground, taking care handling it because the leaves and stems are covered in hairs that can irritate the skin. It is advisable to wear gloves when handling comfrey. 
",comfrey.png,"Contemporary herbalists view comfrey as an ambivalent and controversial herb that may offer therapeutic benefits but can cause liver toxicity. Comfrey as a compost activator - include comfrey in the compost heap to add nitrogen and help to heat the heap. Comfrey should not be added in quantity as it will quickly break down into a dark sludgy liquid that needs to be balanced with more fibrous, carbon rich material.
Comfrey liquid fertilizer - can be produced by either rotting leaves down in rainwater for 4_5 weeks to produce a ready to use 'comfrey tea', or by stacking dry leaves under a weight in a container with a hole in the base. When the leaves decompose a thick black comfrey concentrate is collected. This must be diluted at 15:1 before use.
Comfrey as a mulch or side dressing - a 2 inch layer of comfrey leaves placed around a crop will slowly break down and release plant nutrients; it is especially useful for crops that need extra potassium, such as fruit bearers but also reported to do well for potatoes. Comfrey can be slightly wilted before application optionally but either way, avoid using flowering stems as these can root.
",3b,6b,Compost Activator,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Scarlet,Runner Bean,Vegetable,Annual,50,7,Plant,Outside,7,21,2,3,24,36,1.00,24,36,10,14,65,70,38,3b,13a,I,"Cage, stake or trellis",Full to Partial,,,,Yes,Yes,No,No,Yes,No,,No,No,Edible,Fruit,Shallow root ball,"Used for ornamental purposes or as a vegetable: small snap pods or green shell beans. Can substitute for limas in cooler climates. Pole habit, 65 days.","Sow seeds outdoors after danger of frost has passed and soil and air temperatures have warmed. Runner beans prefer full sun, although they tolerate part shade very well. Young ",runnerbean.png,"Young pods can be eaten whole, or the beans can be eaten fresh or dried. Even the flowers are edible.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Arrow OG,Pea,Vegetable,Annual,50,7,Plant,Outside,7,14,2,3,24,26,0.75,24,26,,10,62,70,36,3a,11b,I,"Cage, stake or trellis",Full,,,,Yes,Yes,No,No,Yes,No,,No,No,Edible,Fruit,Shallow root ball,"An English main crop variety and standard home and market variety. Slim pointed pods are 4-5"" long and contain 8-11 small deep green peas. Pods are almost always borne in doubles. Very heavy reliable production. Medium vines grow 24-28"" tall. Shell, 62-70 days.","Peas thrive in cool weather. Sow seeds outdoors as soon as soil can be worked in spring. Seeds will germinate in 7-14 days. Double rows of peas can be planted on each side of a trellis.
",pea.png,"Slim pointed pods are 4-5"" long and contain 8-11 small deep green peas. Pods are almost always borne in doubles. Very heavy reliable production.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plum Purple,Radish,Vegetable,Annual,9,11,Root,Outside,7,21,1,2,12,14,0.50,2,3,10,14,25,30,38,3b,11b,D,none,Full,,,,No,No,No,No,No,No,,No,No,Edible,Root,Tap Root,Unique deep purple round roots. Firm white flesh is sweet and mild all season long and never pithy. Hardy and adaptable. Exceptional variety for the novelty market and also for the home gardener. 25-30 days.,"Sow seeds outdoors as soon as soil can be worked in spring. Plant in full sun. Successive plantings can be made every 3-4 weeks throughout summer and fall to provide a continual harvest.
",radish.png,Unique deep purple round roots. Firm white flesh is sweet and mild all season long and never pithy. Hardy and adaptable. Exceptional variety for the novelty market and also for the home gardener. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goumi,Goumi,Herb,Perennial,40,25,Bush,Outside,15,21,30,40,30,40,1.00,30,40,,10,400,450,-20,2b,13b,D,none,Full to Partial,,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Edible,Fruit,Root Ball,Goumi is believed to be a native of China and Japan from where it spread to other parts of the world.  It has been under cultivation since very long and is occasionally grown in Europe and North America as an ornamental plant and sometimes also for its fruit. It is naturalised in parts of the eastern United States.,"Goumi is a very fast growing plant.ÿ It is a quite hardy shrub and can grow even under dry locations.ÿ However, it has to be planted at sunny locations for best results.ÿ",goumi.png,"Attracts wide variety of birds to its berries, rich in vitamins C and possibly helpful for lowering cholesterol. Often used to help kick off gardens for its nitrogen-fixing capability. Hardy in cold and dry temperatures, and its leafs can be mulched monthly.",,,,,Berries high in Vitamin C and may reduce cholesterol,Yes,,,,,,,,,,,,,,,Yes,Birds,,,,,,,,,,,,,Yes,Yes,,,,,Yes
